股票代码,股票名称,试盘模式,试盘日,突破日,入场价,出场日,出场价,持有天数,收益率,出场原因
002218,拓日新能,长上影线试盘,20250102,20250109,4.51,20250110,4.15,1,-7.93%,stop_loss
002245,蔚蓝锂芯,长上影线试盘,20250103,20250106,12.30,20250110,11.32,4,-7.93%,stop_loss
000852,石化机械,长上影线试盘,20250106,20250107,7.73,20250109,7.12,2,-7.93%,stop_loss
000962,东方钽业,长上影线试盘,20250108,20250114,15.29,20250121,14.79,5,-3.27%,max_days
002190,成飞集成,长上影线试盘,20250108,20250109,20.20,20250110,18.60,1,-7.93%,stop_loss
688521,芯原股份,长上影线试盘,20250110,20250115,52.35,20250120,48.20,3,-7.93%,stop_loss
603686,福龙马,长上影线试盘,20250110,20250114,9.92,20250121,10.61,5,6.96%,max_days
002915,中欣氟材,长上影线试盘,20250110,20250114,13.90,20250121,14.23,5,2.37%,max_days
002222,福晶科技,长上影线试盘,20250110,20250113,34.24,20250120,33.46,5,-2.28%,max_days
002156,通富微电,长上影线试盘,20250110,20250116,28.42,20250123,28.15,5,-0.95%,max_days
002067,景兴纸业,长上影线试盘,20250110,20250117,3.55,20250124,3.57,5,0.56%,max_days
301091,深城交,长上影线试盘,20250110,20250115,33.27,20250122,32.75,5,-1.56%,max_days
300098,高新兴,长上影线试盘,20250110,20250115,5.45,20250122,5.30,5,-2.75%,max_days
300432,富临精工,长上影线试盘,20250110,20250114,11.91,20250121,12.51,5,5.04%,max_days
300007,汉威科技,长上影线试盘,20250110,20250114,26.58,20250121,28.70,5,7.98%,max_days
301236,软通动力,长上影线试盘,20250110,20250114,55.55,20250121,56.36,5,1.46%,max_days
000887,中鼎股份,长上影线试盘,20250110,20250114,13.35,20250121,13.55,5,1.50%,max_days
002892,科力尔,长上影线试盘,20250110,20250114,14.08,20250121,14.11,5,0.21%,max_days
002187,广百股份,长上影线试盘,20250113,20250115,9.11,20250122,8.91,5,-2.20%,max_days
600650,锦江在线,长上影线试盘,20250113,20250116,15.09,20250122,13.89,4,-7.93%,stop_loss
600858,银座股份,长上影线试盘,20250115,20250116,6.21,20250117,5.72,1,-7.93%,stop_loss
002426,胜利精密,长上影线试盘,20250115,20250116,3.22,20250122,2.96,4,-7.93%,stop_loss
000833,粤桂股份,长上影线试盘,20250115,20250117,11.64,20250124,11.17,5,-4.04%,max_days
600580,卧龙电驱,长上影线试盘,20250115,20250117,15.96,20250124,17.53,5,9.84%,max_days
300380,安硕信息,长上影线试盘,20250115,20250117,58.10,20250122,53.49,3,-7.93%,stop_loss
300010,豆神教育,长上影线试盘,20250115,20250116,6.79,20250121,6.25,3,-7.93%,stop_loss
000882,华联股份,长上影线试盘,20250115,20250116,2.47,20250123,3.41,5,38.06%,max_days
603308,应流股份,长上影线试盘,20250115,20250116,18.05,20250123,20.33,5,12.63%,max_days

===== 回测汇总 =====
总信号数,39
突破成功数,28
突破率,71.79%
总交易数,28
胜率,39.29%
总收益率,-9.75%
平均收益率,-0.35%
平均盈利,7.87%
平均亏损,-5.67%
盈亏比,1.39
最大盈利,38.06%
最大亏损,-7.93%
