v_sh600522="1~中天科技~600522~28.86~28.99~28.86~20933~14499~6434~28.85~33~28.84~42~28.83~865~28.82~11~28.81~20~28.86~13~28.87~329~28.88~204~28.89~381~28.90~1360~~20260331092724~-0.13~-0.45~28.86~28.86~28.86/20933/60412638~20933~6041~0.06~34.37~~28.86~28.86~0.00~984.98~984.98~2.69~31.89~26.09~0.00~-1316~28.86~31.59~34.71~~~1.67~6041.2638~0.0000~0~ ~GP-A~59.27~10.57~1.03~7.83~4.57~31.82~11.80~10.49~0.24~56.00~3412949652~3412949652~-40.39~104.65~3412949652~~~102.36~-0.45~~CNY~0~___D__F__N~28.80~3075~";
v_sh603668="1~天马科技~603668~12.06~12.18~12.06~2192~1516~676~12.05~48~12.04~500~12.02~47~12.01~207~12.00~473~12.06~810~12.07~16~12.10~7~12.12~10~12.14~1~~20260331092706~-0.12~-0.99~12.06~12.06~12.06/2192/2643552~2192~264~0.04~222.63~~12.06~12.06~0.00~60.99~60.99~2.59~13.40~10.96~0.00~431~12.06~64.63~234.28~~~0.97~264.3552~0.0000~0~ ~GP-A~-27.61~8.26~0.00~1.18~0.28~19.64~10.36~-5.85~-14.04~-26.46~505723272~505723272~20.34~-8.71~505723272~~~-1.23~-0.99~~CNY~0~___D__F__N~11.98~244~";
v_sz300780="51~德恩精工~300780~22.08~21.89~22.08~590~523~67~22.08~11~22.00~2~21.90~2~21.89~50~21.88~52~22.18~12~22.19~1~22.20~51~22.22~19~22.36~3~~20260331092657~0.19~0.87~22.08~22.08~22.08/590/1302720~590~130~0.05~-25.68~~22.08~22.08~0.00~23.74~32.38~3.16~26.27~17.51~0.00~31~22.08~-74.83~-24.77~~~1.87~130.2720~0.0000~0~ A~GP-A-CYB~14.52~10.51~0.00~-12.32~-7.11~32.99~11.28~3.18~-0.32~15.24~107535012~146670000~15.27~37.83~107535012~~~44.98~0.87~~CNY~0~~21.81~45~";
v_sh600105="1~永鼎股份~600105~27.13~27.69~27.13~12173~5481~6692~27.13~151~27.12~281~27.11~413~27.10~1294~27.09~22~27.14~537~27.15~1~27.16~3~27.17~18~27.18~111~~20260331092715~-0.56~-2.02~27.13~27.13~27.13/12173/33025349~12173~3303~0.08~119.04~~27.13~27.13~0.00~396.64~396.64~12.02~30.46~24.92~0.00~1491~27.13~90.39~645.84~~~1.99~3302.5349~0.0000~0~ ~GP-A~8.09~7.62~0.31~10.10~3.11~32.50~4.47~0.22~-1.42~15.30~1461994802~1461994802~52.67~219.74~1461994802~~~318.35~-2.02~~CNY~0~___D__F__N~27.20~-105~";
v_sz300342="51~天银机电~300342~52.79~53.86~52.79~5043~464~4579~52.79~3~52.78~7~52.76~10~52.75~3~52.71~3~52.80~28~52.85~7~52.86~1~52.89~4~52.95~1~~20260331092639~-1.07~-1.99~52.79~52.79~52.79/5043/26621997~5043~2662~0.12~377.76~~52.79~52.79~0.00~221.08~224.38~14.31~64.63~43.09~0.00~-15~52.79~693.37~248.18~~~1.61~2662.1997~0.0000~0~ A~GP-A-CYB~59.34~14.07~0.12~3.79~2.89~62.66~12.94~27.30~27.14~64.10~418798863~425035113~-22.39~211.08~418798863~~~214.32~-1.99~~CNY~0~~53.00~-1411~";
v_sh688383="1~新益昌~688383~72.84~73.58~72.84~5614~804~4810~72.84~7~72.08~5~72.00~67~71.00~48~70.00~7~72.85~12~72.96~3~73.33~4~73.55~3~73.77~2~~20260331092720~-0.74~-1.01~72.84~72.84~72.84/5614/408924~5614~41~0.01~-55.72~~72.84~72.84~0.00~74.04~74.04~5.99~88.30~58.86~0.00~110~72.84~-55.72~-55.72~~~1.98~40.8924~0.0000~0~A R~GP-A-KCB~-6.94~16.26~0.27~-1.55~-0.65~85.98~36.09~6.13~8.88~-3.25~101646500~101646500~69.62~47.59~101646500~~~55.90~-1.01~~CNY~0~___D__F__NY~74.29~-13~100";
v_sz300337="51~银邦股份~300337~12.90~13.19~12.90~14725~8684~6041~12.90~1778~12.89~486~12.88~391~12.87~6~12.86~60~12.92~4~12.93~466~12.94~30~12.95~130~12.96~7~~20260331092706~-0.29~-2.20~12.90~12.90~12.90/14725/18995250~14725~1900~0.21~872.77~~12.90~12.90~0.00~91.77~106.03~6.14~15.83~10.55~0.00~2084~12.90~124.36~183.79~~~2.40~1899.5250~0.0000~0~ A~GP-A-CYB~-16.83~8.95~0.08~0.69~0.17~21.73~8.53~1.34~-5.77~-4.59~711399565~821935631~62.06~18.78~711399565~~~9.88~-2.20~~CNY~0~~12.85~823~";
v_sh603737="1~三棵树~603737~52.92~52.60~52.92~197~124~73~52.87~1~52.65~1~52.62~1~52.61~7~52.60~16~52.98~2~53.02~1~53.29~1~53.34~1~53.38~11~~20260331092707~0.32~0.61~52.92~52.92~52.92/197/1042524~197~104~0.00~58.70~~52.92~52.92~0.00~390.45~390.45~13.56~57.86~47.34~0.00~10~52.92~39.38~117.63~~~1.15~104.2524~0.0000~0~ ~GP-A~14.37~10.80~1.38~20.48~4.50~58.37~31.10~5.19~3.74~17.63~737817473~737817473~23.81~46.88~737817473~~~47.03~0.61~~CNY~0~___D__F__N~52.02~75~";
v_sz301226="51~祥明智能~301226~42.95~44.76~42.95~1510~541~969~42.90~28~42.88~4~42.85~16~42.80~17~42.78~2~42.95~69~42.97~26~42.98~10~42.99~28~43.00~302~~20260331092654~-1.81~-4.04~42.95~42.95~42.95/1510/6485450~1510~649~0.14~163.71~~42.95~42.95~0.00~46.73~46.73~5.13~53.71~35.81~0.00~-368~42.95~178.97~159.48~~~1.90~648.5450~0.0000~0~ AR~GP-A-CYB~26.21~-0.02~0.23~3.13~2.69~50.00~19.76~2.90~0.19~29.68~108800000~108800000~-73.31~59.78~108800000~~~53.01~-4.04~~CNY~0~~43.08~-69~";
v_sz300300="51~海峡创新~300300~14.41~14.20~14.41~38144~32680~5464~14.41~1~14.40~100~14.39~388~14.38~689~14.37~958~14.42~19~14.43~6~14.44~19~14.45~65~14.46~178~~20260331092627~0.21~1.48~14.41~14.41~14.41/38144/54965504~38144~5497~0.57~237.39~~14.41~14.41~0.00~96.09~96.09~67.74~17.04~11.36~0.00~1849~14.41~-418.08~1691.77~~~1.06~5496.5504~0.0000~0~ A~GP-A-CYB~-4.13~17.44~0.00~28.53~4.08~19.44~2.40~16.40~3.74~-15.19~666804612~666847062~76.31~178.19~666804612~~~395.19~1.48~~CNY~0~~14.50~-421~";
v_sh603023="1~威帝股份~603023~5.28~5.33~5.30~310769~157816~152954~5.26~232~5.25~502~5.24~1080~5.23~103~5.22~127~5.28~221~5.29~280~5.30~1133~5.31~334~5.32~940~~20260331161429~-0.05~-0.94~5.45~5.24~5.28/310769/166432153~310769~16643~5.57~1331.62~~5.45~5.24~3.94~29.47~29.47~3.83~5.86~4.80~1.67~-864~5.36~3131.26~582.90~~~0.98~16643.2153~0.0000~0~ ~GP-A~4.97~12.10~0.00~0.29~0.08~6.55~2.67~5.18~7.98~-4.17~558117407~558117407~-17.45~37.86~558117407~~~73.11~0.38~~CNY~0~___D__F__N~5.37~-1367~";
